Title;Year;Decade;Country;Genre;IMDB;averageRating;numVotes;start;end
11.22.63;;;;Mystery;;;;7.5;
12 Monkeys;;;;Sci-Fi;;;;8;7
37 Days;2014;;;Politics;;;;8.75;
3rd Rock from the Sun;;;;Comedy;;;;8.5;7.5
After Life;2019;;;Comedy;;;;9;
Akta Manniskor;;;;Sci-Fi;;;;8.25;
All In The Family;;;;Comedy;;;;9;
Altered Carbon;;;;Sci-Fi;;;;8;7
American Dad;;;;Comedy;;;;8.25;7
American Horror Story;;;;Horror;;;;8.5;7
Ascension;2014;;;Drama;;;;7;
Ash vs Evil Dead;;;;Comedy;;;;8.75;
Babylon 5;;;;Sci-Fi;;;;9.25;
Band of Brothers;;;;War;;;;9.5;
Barbarians;;;;Historical;;;;;
Barkskins;;;;Historical;;;;8.5;
Baron Noir;;;;Politics;;;;8.5;
Bastard Executioner, The;;;;Historical;;;;8;
Bates' Motel;;;;Thriller;;;;8.5;
Better Call Saul;;;;Thriller;;;;9.25;
Big Bang Theory, The;;;;Comedy;;;;9;7
Black Adder, The;;;;Comedy;;;;9.5;
Black Books;;;;Comedy;;;;8.25;
Black Mirror;;;;Dystopia;;;;9.25;8.5
Black Summer;;;;Horror;;;;8.5;
Boardwalk Empire;;;;Crime;;;;8.75;
Borgen;;;;Politics;;;;8.25;
Boston Legal;;;;Comedy;;;;8.5;
Boys, The;;;;Fantasy;;;;9;
Brave New World;;;;Dystopia;;;;7.5;
Breaking Bad;;;;Thriller;;;;9.5;
Brot (Valhalla Murders);;;;Crime;;;;8.25;
Brotherhood;;;;Crime;;;;8.25;
Californication;;;;Comedy;;;;8.75;7
Caprica;;;;Sci-Fi;;;;8.5;
Casa de Papel, La;;;;Thriller;;;;9;8
Catch 22;;;;War;;;;8.5;
Chernobyl;;;;Historical;;;;9.75;
Childhood's End;;;;Sci-Fi;;;;7.5;
Closer, The;;;;Crime;;;;8;
Counterpart;;;;Dystopia;;;;7.75;
Curb Your Enthusiasm;;;;Comedy;;;;7.75;
Damages;;;;Crime;;;;8;
Daredevil;;;;Fantasy;;;;8.5;
Dark;;;;Sci-Fi;;;;8.75;
Dead Set;;;;Horror;;;;8;
Deadwood;;;;Western;;;;9;
Defenders, The;;;;Fantasy;;;;8;
Derek;;;;Comedy;;;;8.25;
Dexter;;;;Thriller;;;;8.75;7
Dune MiniSeries;;;;Sci-Fi;;;;8.25;
End of The Fucking World, The;;;;Comedy;;;;8.5;
Exorcist, The;;;;Horror;;;;8;
Expanse, The;;;;Sci-Fi;;;;9.5;
Fall, The;;;;Crime;;;;8.75;
Falling Skies;;;;Sci-Fi;;;;7.5;7
Family Guy s1-s12;;;;Comedy;;;;8.5;7
Fargo;;;;Thriller;;;;9;8
Fawlty Towers;;;;Comedy;;;;9.5;
Fear the Walking Dead;;;;Horror;;;;7.5;6
Fortitude;;;;Mystery;;;;8;
Galactica;;;;Sci-Fi;;;;9.75;
Game of Thrones;;;;Fantasy;;;;9.5;7.5
Gato Fedorento;;;;Comedy;;;;8.5;
Generation Kill;;;;War;;;;8.5;
Good Place, The;;;;Comedy;;;;8.5;
Handmaid's Tale, The;;;;Dystopia;;;;9.25;
Hannibal;;;;Mystery;;;;9.5;
Haunting of Bly Manor, The;;;;Horror;;;;9;
Haunting of Hill House, The;;;;Horror;;;;9.75;
Hell on Wheels;;;;Western;;;;8.75;
Hitchcock s1-s7;;;;Crime;;;;9;
Horace and Pete;;;;Comedy;;;;8;
House;;;;Thriller;;;;8.75;7.5
House of Cards;;;;Politics;;;;8.5;7
House of Cards (UK);;;;Politics;;;;9;
House of Saddam;;;;Historical;;;;8.5;
I Claudius (1976 Remastered);;;;Historical;;;;9.5;
In the Flesh;;;;Horror;;;;9.25;
Into the West;;;;Western;;;;8.25;
Iron Fist;;;;Fantasy;;;;7;
IT Crowd, The;;;;Comedy;;;;8.75;
Jericho;;;;Dystopia;;;;8;
Jessica Jones;;;;Fantasy;;;;8.25;
John Adams;;;;Historical;;;;9.25;
Jordskott;;;;Fantasy;;;;7.75;
Justified;;;;Thriller;;;;8.25;
Killing, The;;;;Crime;;;;8.25;
Kingdom;;;;Horror;;;;8.5;
Kingdom (Korea 2019);;;;Horror;;;;8.5;
Knick, The;;;;Historical;;;;9.25;
League Of Gentlemen, The;;;;Comedy;;;;8.75;
Lie to Me;;;;Crime;;;;7.5;
Living and the Dead, The;;;;Horror;;;;7.5;
Lost Room, The;;;;Mystery;;;;7.75;
Louie;;;;Comedy;;;;8.75;
Luck;;;;Drama;;;;8;
Luke Cage;;;;Fantasy;;;;8.25;
Mad Men;;;;Drama;;;;8.5;
Man In The High Castle, The;;;;Dystopia;;;;8;
Marianne;;;;Horror;;;;8;
Mentalist s1-s6, The;;;;Crime;;;;7.5;7
Messiah (2020);;;;Mystery;;;;8.75;
Mildred Pierce;;;;Drama;;;;7.5;
Millennium;;;;Mystery;;;;9;7.5
Mindhunter;;;;Crime;;;;9;
Monty Python;;;;Comedy;;;;9.25;
Mr Robot;;;;Thriller;;;;10;
My Name is Earl;;;;Comedy;;;;8.75;
Newsroom, The;;;;Politics;;;;7.75;
Night of, The;;;;Crime;;;;8.5;
Northern Exposure;;;;Comedy;;;;9;
NYPD Blue;;;;Crime;;;;9;
O Tal Canal;1983;;;Comedy;;;;8.5;
Orphan Black;;;;Mystery;;;;8.25;7.5
Oz;;;;Thriller;;;;8.75;
Pacific, The;;;;War;;;;8.5;
Paranormal;;;;Mystery;;;;8;
Peaky Blinders;;;;Crime;;;;9;
Prime Suspect;;;;Crime;;;;8.75;
Prisoner, The;;;;Dystopia;;;;8;
Psychoville s1-s2;;;;Comedy;;;;8.5;
Punisher;;;;Fantasy;;;;8.5;
Queen's Gambit, The;;;;Drama;;;;9;
Raised by Wolves;;;;Sci-Fi;;;;7;
Red Dwarf;;;;Comedy;;;;8.5;
Red Riding;;;;Crime;;;;8.25;
Ren & Stimpy;;;;Comedy;;;;8;
Returned, The;;;;Horror;;;;8.25;
Rick and Morty;;;;Comedy;;;;9.25;
River;;;;Crime;;;;8.5;
Rome;;;;Historical;;;;9.25;
Rubicon;;;;Crime;;;;8;
Russian Doll;;;;Comedy;;;;8.75;
Sarah Connor;;;;Sci-Fi;;;;8.5;
Scrubs s1-s6;;;;Comedy;;;;8.75;
Sense8;;;;Fantasy;;;;8.5;
Servant;;;;Thriller;;;;8.25;
Sherlock (2010);;;;Crime;;;;7;
Sherlock Holmes (1984-1994);;;;Crime;;;;9.5;8
Shield, The;;;;Crime;;;;9.5;
Show Me a Hero;;;;Politics;;;;8.75;
Simpsons s1-s20, The;;;;Comedy;;;;9;7
Six Feet Under;;;;Drama;;;;9.5;
Sleeper Cell;;;;Thriller;;;;9;
Sons of Anarchy;;;;Thriller;;;;9;8
Sopranos, The;;;;Drama;;;;9.25;
South Park s1-s23;;;;Comedy;;;;9;8
Southland;;;;Crime;;;;8.75;
Space 1999;;;;Sci-Fi;;;;8;
Spiral;;;;Politics;;;;9;
Star Trek Discovery;;;;Sci-Fi;;;;6;
Star Trek s1-s3;;;;Sci-Fi;;;;8.5;
Star Wars, Clone Wars;;;;Fantasy;;;;8.5;
Star Wars, Mandalorian;;;;Fantasy;;;;9;
Star Wars, Rebels;;;;Fantasy;;;;8.5;
Stargate Universe;;;;Sci-Fi;;;;8.75;
State of Play;;;;Crime;;;;8.25;
Stranger Things;;;;Mystery;;;;8.75;8
Taboo;;;;Thriller;;;;9;
Take, The;;;;Crime;;;;8.5;
Terror, The;;;;Horror;;;;9;7
Thick of it, The;;;;Politics;;;;9.25;
Total Recall 2070;;;;Sci-Fi;;;;7.75;
Tron Uprising;;;;Fantasy;;;;7;
True Detective;;;;Crime;;;;9.25;
Twilight Zone, The;;;;Mystery;;;;9.25;
Unbelievable;;;;Thriller;;;;8.75;
Unit, The;;;;Thriller;;;;8.25;
Utopia;;;;Sci-Fi;;;;9;
V (1980s);;;;Sci-Fi;;;;8.25;
V (2009);;;;Sci-Fi;;;;7;
Versailles;;;;Historical;;;;8.75;
Vicar of Dibley, The;;;;Comedy;;;;8.25;
Vikings;;;;Fantasy;;;;9;8
Village, The;;;;Drama;;;;8.25;
Walking Dead, The;;;;Horror;;;;9;6
Wallender;;;;Crime;;;;8.5;
War and Peace;;;;Historical;;;;9;
Watchmen;;;;Drama;;;;8;
West Wing, The;;;;Politics;;;;9;8
Westworld;;;;Sci-Fi;;;;9.5;6
Wire, The;;;;Politics;;;;9.75;
Witcher, The;;;;Fantasy;;;;8.5;
Wolf Hall;;;;Historical;;;;9.5;
X-files s1-s5;;;;Mystery;;;;9;7
Years and Years;;;;Dystopia;;;;8.75;
Yes Minister;;;;Politics;;;;9.5;
Yes Prime Minister;;;;Politics;;;;9.5;
Z‚ Gato;;;;Crime;;;;7;
